variables,type,units,values,description
towerse.qdyn,output,Pa,"[[137.06602959]
 [145.67383307]
 [152.91878301]
 [159.21568807]
 [164.81018451]
 [169.86076427]
 [174.47614462]
 [178.73440849]
 [182.69368417]
 [186.39850846]
 [189.88382043]
 [193.17757643]
 [196.30252377]
 [199.27743979]
 [202.11801999]
 [204.83752861]
 [207.4472846 ]
 [209.9570307 ]
 [212.37521824]
 [214.70922964]
 [216.96555459]
 [219.14993096]
 [221.26745868]
 [223.32269265]
 [225.31971915]
 [227.26221916]
 [229.15352124]
 [230.99664594]
 [232.71042124]
 [234.38513737]
 [236.02279604]]",
fixedse.monopile_height,input,m,[90.],
fixedse.tower_foundation_height,input,m,[15.],
fixedse.monopile_foundation_height,input,m,[-75.],
fixedse.tower_base_diameter,input,m,[10.],
fixedse.monopile_top_diameter,input,m,[10.],
fixedse.water_depth,input,m,[30.],
fixedse.monopile_s,input,,"[0.         0.5        0.61111111 0.72222222 0.83333333 0.94444444
 1.        ]",
fixedse.s_const1,output,,[0.5],
fixedse.s_const2,input,,[0.],
fixedse.joint1,output,m,[  0.   0. -75.],
fixedse.joint2,output,m,[ 0.  0. 15.],
fixedse.monopile_layer_thickness,input,m,[[0.055341 0.055341 0.055341 0.047677 0.047357 0.039697 0.042419]],
fixedse.monopile_outer_diameter_in,input,m,[10. 10. 10. 10. 10. 10. 10.],
fixedse.E_mat,input,Pa,"[[3.440e+09 3.440e+09 3.440e+09]
 [2.000e+11 2.000e+11 2.000e+11]
 [2.050e+11 2.050e+11 2.050e+11]
 [1.180e+11 1.180e+11 1.180e+11]
 [4.460e+10 1.700e+10 1.670e+10]
 [1.145e+11 8.390e+09 8.390e+09]
 [1.110e+10 1.110e+10 1.670e+10]
 [2.870e+10 1.660e+10 1.670e+10]
 [1.292e+08 1.292e+08 1.292e+08]
 [1.000e+06 1.000e+06 1.000e+06]
 [4.560e+06 4.560e+06 4.560e+06]]",
fixedse.E_user,input,Pa,[0.],
fixedse.G_mat,input,Pa,"[[1.32300000e+09 1.32300000e+09 1.32300000e+09]
 [7.93000000e+10 7.93000000e+10 7.93000000e+10]
 [8.00000000e+10 8.00000000e+10 8.00000000e+10]
 [4.76000000e+10 4.76000000e+10 4.76000000e+10]
 [3.27000000e+09 3.48000000e+09 3.50000000e+09]
 [5.99000000e+09 5.99000000e+09 5.99000000e+09]
 [1.35300000e+10 3.49000000e+09 3.49000000e+09]
 [8.40000000e+09 3.49000000e+09 3.49000000e+09]
 [4.89469697e+07 4.89469697e+07 4.89469697e+07]
 [3.12500000e+05 3.12500000e+05 3.12500000e+05]
 [1.52000000e+06 1.52000000e+06 1.52000000e+06]]",
fixedse.sigma_y_mat,input,Pa,"[0.00e+00 3.45e+08 4.85e+08 2.65e+08 0.00e+00 0.00e+00 0.00e+00 0.00e+00
 0.00e+00 0.00e+00 0.00e+00]",
fixedse.sigma_ult_mat,input,Pa,"[[7.400e+01 7.400e+01 7.400e+01]
 [4.500e+08 4.500e+08 4.500e+08]
 [8.140e+08 8.140e+08 8.140e+08]
 [3.100e+08 3.100e+08 3.100e+08]
 [6.092e+08 3.810e+07 1.529e+07]
 [1.546e+09 0.000e+00 0.000e+00]
 [4.290e+07 4.260e+07 1.530e+07]
 [3.960e+08 7.640e+07 1.530e+07]
 [2.083e+06 2.083e+06 2.083e+06]
 [0.000e+00 0.000e+00 0.000e+00]
 [6.900e+05 6.900e+05 6.900e+05]]",
fixedse.wohler_exp_mat,input,,[ 1.   3.   3.   3.  10.  16.1 10.  10.   1.   1.   1. ],
fixedse.wohler_A_mat,input,,"[8.70000000e+01 3.55346484e+10 3.55346484e+10 3.10000000e+08
 6.09200000e+08 1.54600000e+09 1.13200000e+08 4.48900000e+08
 2.08300000e+06 0.00000000e+00 6.90000000e+05]",
fixedse.rho_mat,input,kg/m**3,[1235. 7800. 7850. 7200. 1940. 1220. 1940. 1940.  130. 1150. 1100.],
fixedse.unit_cost_mat,input,USD/kg,[ 7.23  0.7   0.9   0.5   1.87 30.    3.    2.86 13.    3.63  9.  ],
fixedse.outfitting_factor_in,input,,[1.07],
fixedse.rho_water,input,kg/m**3,[1025.],
fixedse.monopile_layer_materials,input,Unavailable,['steel'],
fixedse.member.ballast_materials,input,Unavailable,[],
fixedse.material_names,input,Unavailable,"['Gelcoat', 'steel', 'steel_drive', 'cast_iron', 'glass_uni', 'CarbonUD', 'glass_biax', 'glass_triax', 'medium_density_foam', 'resin', 'adhesive']",
fixedse.member.gc.d,input,m,[10. 10. 10. 10. 10. 10. 10.],
fixedse.member.gc.t,input,m,[0.055341 0.055341 0.051509 0.047517 0.043527 0.041058],
fixedse.member.s,output,,"[0.         0.5        0.61111111 0.72222222 0.83333333 0.94444444
 1.        ]",
fixedse.member.height,output,m,[90.],
fixedse.monopile_outer_diameter,output,m,[10. 10. 10. 10. 10. 10. 10.],
fixedse.monopile_wall_thickness,output,m,[0.055341 0.055341 0.051509 0.047517 0.043527 0.041058],
fixedse.member.E,output,Pa,[2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11],
fixedse.member.G,output,Pa,[7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10],
fixedse.member.sigma_y,output,Pa,[3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08],
fixedse.member.rho,output,kg/m**3,[7800. 7800. 7800. 7800. 7800. 7800.],
fixedse.member.unit_cost,output,USD/kg,[0.7 0.7 0.7 0.7 0.7 0.7],
fixedse.member.outfitting_factor,output,,[1.07 1.07 1.07 1.07 1.07 1.07],
fixedse.nodes_xyz,output,m,"[[  0.           0.         -75.        ]
 [  0.           0.         -60.        ]
 [  0.           0.         -45.        ]
 [  0.           0.         -30.        ]
 [  0.           0.         -26.66666667]
 [  0.           0.         -23.33333333]
 [  0.           0.         -20.        ]
 [  0.           0.         -16.66666667]
 [  0.           0.         -13.33333333]
 [  0.           0.         -10.        ]
 [  0.           0.          -6.66666667]
 [  0.           0.          -3.33333333]
 [  0.           0.           0.        ]
 [  0.           0.           3.33333333]
 [  0.           0.           6.66666667]
 [  0.           0.          10.        ]
 [  0.           0.          11.66666667]
 [  0.           0.          13.33333333]
 [  0.           0.          15.        ]]",
fixedse.s_full,output,m,"[0.         0.16666667 0.33333333 0.5        0.53703704 0.57407407
 0.61111111 0.64814815 0.68518519 0.72222222 0.75925926 0.7962963
 0.83333333 0.87037037 0.90740741 0.94444444 0.96296296 0.98148148
 1.        ]",
fixedse.z_full,output,m,"[ 0.         15.         30.         45.         48.33333333 51.66666667
 55.         58.33333333 61.66666667 65.         68.33333333 71.66666667
 75.         78.33333333 81.66666667 85.         86.66666667 88.33333333
 90.        ]",
fixedse.d_full,output,m,"[10. 10. 10. 10. 10. 10. 10. 10. 10. 10. 10. 10. 10. 10. 10. 10. 10. 10.
 10.]",
fixedse.member.s_ghost1,input,,[0.],
fixedse.member.s_ghost2,input,,[1.],
fixedse.t_full,output,m,"[0.055341 0.055341 0.055341 0.055341 0.055341 0.055341 0.051509 0.051509
 0.051509 0.047517 0.047517 0.047517 0.043527 0.043527 0.043527 0.041058
 0.041058 0.041058]",
fixedse.E_full,output,Pa,"[2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11
 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11]",
fixedse.G_full,output,Pa,"[7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10
 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10
 7.93e+10 7.93e+10]",
fixedse.sigma_y_full,output,Pa,"[3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08
 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08
 3.45e+08 3.45e+08]",
fixedse.rho_full,output,kg/m**3,"[7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800.
 7800. 7800. 7800. 7800. 7800. 7800.]",
fixedse.outfitting_full,output,,"[1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07
 1.07 1.07 1.07 1.07]",
fixedse.member.unit_cost_full,output,USD/kg,[0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7],
fixedse.labor_cost_rate,input,USD/min,[0.98],
fixedse.painting_cost_rate,input,USD/m**2,[30.],
fixedse.mono.cylinder_mass,input,kg,[1219239.06034859],
fixedse.mono.cylinder_cost,input,USD,[3108099.13876655],
fixedse.mono.cylinder_z_cg,input,m,[42.93456603],
fixedse.mono.cylinder_I_base,input,kg*m**2,"[3.04747922e+09 3.04747922e+09 3.01632588e+07 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",
fixedse.transition_piece_mass,input,kg,[100000.],
fixedse.transition_piece_cost,input,USD,[0.],
fixedse.gravity_foundation_mass,input,kg,[0.],
fixedse.tower_mass,input,kg,[853460.11735682],
fixedse.tower_cost,input,USD,[2394873.37385575],
fixedse.soil.d0,input,m,[10.],
fixedse.suctionpile_depth,output,m,[45.],
fixedse.G_soil,input,Pa,[1.4e+08],
fixedse.nu_soil,input,,[0.4],
fixedse.soil.k_usr,input,N/m,[-1. -1. -1. -1. -1. -1.],
fixedse.env.Uref,input,m/s,[19.72022518],
fixedse.wind_reference_height,input,m,[150.],
fixedse.z_global,output,m,"[-75.         -60.         -45.         -30.         -26.66666667
 -23.33333333 -20.         -16.66666667 -13.33333333 -10.
  -6.66666667  -3.33333333   0.           3.33333333   6.66666667
  10.          11.66666667  13.33333333  15.        ]",
fixedse.z0,input,m,[0.],
fixedse.shearExp,input,,[0.12],
fixedse.env.windLoads.U,input,m/s,"[ 0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.         12.48896269 13.57219115 14.24888623 14.51491622 14.74937329
 14.9593206 ]",
fixedse.beta_wind,input,deg,[0.],
fixedse.rho_air,input,kg/m**3,[1.225],
fixedse.mu_air,input,kg/m/s,[1.81e-05],
fixedse.cd_usr,input,,[-1.],
fixedse.Uc,input,m/s,[0.],mean current speed
fixedse.Hsig_wave,input,m,[4.52],
fixedse.Tsig_wave,input,s,[9.45],
fixedse.env.waveLoads.U,input,m/s,"[0.         0.         0.         0.70923173 0.71904559 0.74875877
 0.79919357 0.87174575 0.96842316 1.09190133 1.24559745 1.43376502
 1.6616115  0.         0.         0.         0.         0.
 0.        ]",
fixedse.env.waveLoads.A,input,m/s**2,"[0.         0.         0.         0.4715592  0.47808431 0.49784022
 0.53137368 0.57961271 0.6438923  0.72599136 0.82818197 0.9532922
 1.10478444 0.         0.         0.         0.         0.
 0.        ]",
fixedse.env.waveLoads.p,input,N/m**2,"[     0.              0.              0.         311240.75625003
 277869.9635048  244771.21998735 211955.76760966 179442.68825987
 147259.43188635 115442.57616473  84038.8387714   53106.37027765
  22716.363445        0.              0.              0.
      0.              0.              0.        ]",
fixedse.beta_wave,input,deg,[0.],
fixedse.mu_water,input,kg/m/s,[0.0013351],
fixedse.cm,input,,[0.],
fixedse.env.distLoads.windLoads_Px,input,N/m,"[  0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.         671.11338464 790.60542001
 870.67453539 903.34868207 932.72043634 959.48695844]",
fixedse.env.distLoads.windLoads_Py,input,N/m,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
fixedse.env.distLoads.windLoads_Pz,input,N/m,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
fixedse.env.distLoads.windLoads_qdyn,input,N/m**2,"[  0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.          95.5341908  112.82517825
 124.35633969 129.04321067 133.24570754 137.06602959]",
fixedse.env.distLoads.windLoads_z,input,m,"[-75.         -60.         -45.         -30.         -26.66666667
 -23.33333333 -20.         -16.66666667 -13.33333333 -10.
  -6.66666667  -3.33333333   0.           3.33333333   6.66666667
  10.          11.66666667  13.33333333  15.        ]",
fixedse.env.distLoads.windLoads_beta,input,deg,[0.],
fixedse.env.distLoads.waveLoads_Px,input,N/m,"[    0.             0.             0.          1818.14742973
  1870.33966971  2031.86782679  2318.14225873  2756.95154211
  3392.5662685   4293.64255402  5567.77796154  7387.58716859
 10036.47337869     0.             0.             0.
     0.             0.             0.        ]",
fixedse.env.distLoads.waveLoads_Py,input,N/m,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
fixedse.env.distLoads.waveLoads_Pz,input,N/m,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
fixedse.env.distLoads.waveLoads_qdyn,input,N/m**2,"[     0.              0.              0.         311498.54869554
 278134.93961948 245058.54783278 212283.10666939 179832.15784286
 147740.07664219 116053.60352768  84833.98919294  54159.90737295
  24131.35174114      0.              0.              0.
      0.              0.              0.        ]",
fixedse.env.distLoads.waveLoads_z,input,m,"[-75.         -60.         -45.         -30.         -26.66666667
 -23.33333333 -20.         -16.66666667 -13.33333333 -10.
  -6.66666667  -3.33333333   0.           3.33333333   6.66666667
  10.          11.66666667  13.33333333  15.        ]",
fixedse.env.distLoads.waveLoads_beta,input,deg,[0.],
fixedse.yaw,input,deg,[0.],
fixedse.s_all,input,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
fixedse.g2e.Px_global,input,N/m,"[    0.             0.             0.          1818.14742973
  1870.33966971  2031.86782679  2318.14225873  2756.95154211
  3392.5662685   4293.64255402  5567.77796154  7387.58716859
 10036.47337869   671.11338464   790.60542001   870.67453539
   903.34868207   932.72043634   959.48695844]",
fixedse.g2e.Py_global,input,N/m,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
fixedse.g2e.Pz_global,input,N/m,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
fixedse.g2e.qdyn_global,input,Pa,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 3.11498549e+05
 2.78134940e+05 2.45058548e+05 2.12283107e+05 1.79832158e+05
 1.47740077e+05 1.16053604e+05 8.48339892e+04 5.41599074e+04
 2.41313517e+04 9.55341908e+01 1.12825178e+02 1.24356340e+02
 1.29043211e+02 1.33245708e+02 1.37066030e+02]",
fixedse.lc:Px,input,N/m,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
fixedse.lc:Py,input,N/m,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
fixedse.lc:Pz,input,N/m,"[     0.              0.              0.          -1818.14742973
  -1870.33966971  -2031.86782679  -2318.14225873  -2756.95154211
  -3392.5662685   -4293.64255402  -5567.77796154  -7387.58716859
 -10036.47337869   -671.11338464   -790.60542001   -870.67453539
   -903.34868207   -932.72043634   -959.48695844]",
fixedse.lc:qdyn,input,Pa,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 3.11498549e+05
 2.78134940e+05 2.45058548e+05 2.12283107e+05 1.79832158e+05
 1.47740077e+05 1.16053604e+05 8.48339892e+04 5.41599074e+04
 2.41313517e+04 9.55341908e+01 1.12825178e+02 1.24356340e+02
 1.29043211e+02 1.33245708e+02 1.37066030e+02]",
fixedse.monopile.z_soil,input,N/m,[-45. -40. -35. -30. -25. -20. -15. -10.  -5.  -0.],
fixedse.monopile.k_soil,input,N/m,"[[3.15486316e+10 1.87257778e+13 3.15486316e+10 1.87257778e+13
  1.97866667e+10 9.33333333e+10]
 [2.84362105e+10 1.32688889e+13 2.84362105e+10 1.32688889e+13
  1.81066667e+10 9.33333333e+10]
 [2.53237895e+10 9.00666667e+12 2.53237895e+10 9.00666667e+12
  1.64266667e+10 9.33333333e+10]
 [2.22113684e+10 5.78977778e+12 2.22113684e+10 5.78977778e+12
  1.47466667e+10 9.33333333e+10]
 [1.90989474e+10 3.46888889e+12 1.90989474e+10 3.46888889e+12
  1.30666667e+10 9.33333333e+10]
 [1.59865263e+10 1.89466667e+12 1.59865263e+10 1.89466667e+12
  1.13866667e+10 9.33333333e+10]
 [1.28741053e+10 9.17777778e+11 1.28741053e+10 9.17777778e+11
  9.70666667e+09 9.33333333e+10]
 [9.76168421e+09 3.88888889e+11 9.76168421e+09 3.88888889e+11
  8.02666667e+09 9.33333333e+10]
 [6.64926316e+09 1.58666667e+11 6.64926316e+09 1.58666667e+11
  6.34666667e+09 9.33333333e+10]
 [3.53684211e+09 7.77777778e+10 3.53684211e+09 7.77777778e+10
  4.66666667e+09 9.33333333e+10]]",
fixedse.section_A,output,m**2,"[1.84999497 1.84999497 1.84999497 1.84999497 1.84999497 1.84999497
 1.7225585  1.7225585  1.7225585  1.5896961  1.5896961  1.5896961
 1.4567932  1.4567932  1.4567932  1.37449968 1.37449968 1.37449968]",
fixedse.section_Asx,output,m**2,"[1.05242302 1.05242302 1.05242302 1.05242302 1.05242302 1.05242302
 0.97975505 0.97975505 0.97975505 0.90402089 0.90402089 0.90402089
 0.82829188 0.82829188 0.82829188 0.78141453 0.78141453 0.78141453]",
fixedse.section_Asy,output,m**2,"[1.05242302 1.05242302 1.05242302 1.05242302 1.05242302 1.05242302
 0.97975505 0.97975505 0.97975505 0.90402089 0.90402089 0.90402089
 0.82829188 0.82829188 0.82829188 0.78141453 0.78141453 0.78141453]",
fixedse.section_Ixx,output,kg*m**2,"[22.87040222 22.87040222 22.87040222 22.87040222 22.87040222 22.87040222
 21.31130567 21.31130567 21.31130567 19.68325459 19.68325459 19.68325459
 18.05208044 18.05208044 18.05208044 17.04073978 17.04073978 17.04073978]",
fixedse.section_Iyy,output,kg*m**2,"[22.87040222 22.87040222 22.87040222 22.87040222 22.87040222 22.87040222
 21.31130567 21.31130567 21.31130567 19.68325459 19.68325459 19.68325459
 18.05208044 18.05208044 18.05208044 17.04073978 17.04073978 17.04073978]",
fixedse.section_J0,output,kg*m**2,"[45.74080443 45.74080443 45.74080443 45.74080443 45.74080443 45.74080443
 42.62261133 42.62261133 42.62261133 39.36650917 39.36650917 39.36650917
 36.10416088 36.10416088 36.10416088 34.08147956 34.08147956 34.08147956]",
fixedse.section_rho,output,kg/m**3,"[7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800.
 7800. 7800. 7800. 7800. 7800. 7800.]",
fixedse.section_E,output,Pa,"[2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11
 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11]",
fixedse.section_G,output,Pa,"[7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10
 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10
 7.93e+10 7.93e+10]",
fixedse.qdyn,output,Pa,"[[0.00000000e+00]
 [0.00000000e+00]
 [0.00000000e+00]
 [3.11498549e+05]
 [2.78134940e+05]
 [2.45058548e+05]
 [2.12283107e+05]
 [1.79832158e+05]
 [1.47740077e+05]
 [1.16053604e+05]
 [8.48339892e+04]
 [5.41599074e+04]
 [2.41313517e+04]
 [9.55341908e+01]
 [1.12825178e+02]
 [1.24356340e+02]
 [1.29043211e+02]
 [1.33245708e+02]
 [1.37066030e+02]]",
fixedse.bending_height,output,m,[45.],
fixedse.tower_xyz,input,m,"[[  0.           0.          15.        ]
 [  0.           0.          19.33333333]
 [  0.           0.          23.66666667]
 [  0.           0.          28.        ]
 [  0.           0.          32.33333333]
 [  0.           0.          36.66666667]
 [  0.           0.          41.        ]
 [  0.           0.          45.33333333]
 [  0.           0.          49.66666667]
 [  0.           0.          54.        ]
 [  0.           0.          58.33333333]
 [  0.           0.          62.66666667]
 [  0.           0.          67.        ]
 [  0.           0.          71.33333333]
 [  0.           0.          75.66666667]
 [  0.           0.          80.        ]
 [  0.           0.          84.33333333]
 [  0.           0.          88.66666667]
 [  0.           0.          93.        ]
 [  0.           0.          97.33333333]
 [  0.           0.         101.66666667]
 [  0.           0.         106.        ]
 [  0.           0.         110.33333333]
 [  0.           0.         114.66666667]
 [  0.           0.         119.        ]
 [  0.           0.         123.33333333]
 [  0.           0.         127.66666667]
 [  0.           0.         132.        ]
 [  0.           0.         136.12866667]
 [  0.           0.         140.25733333]
 [  0.           0.         144.386     ]]",
fixedse.tower_A,input,m**2,"[1.32241595 1.32241595 1.32241595 1.21949096 1.21646814 1.21344531
 1.11410373 1.09582246 1.0775412  1.00737515 0.98537173 0.96336831
 0.89688395 0.87341745 0.84995095 0.78210236 0.7572879  0.73247343
 0.66618944 0.65152269 0.63685594 0.55349689 0.54916565 0.54483441
 0.46889362 0.46478656 0.46067951 0.52725521 0.52531914 0.52338308]",
fixedse.tower_Asx,input,m**2,"[0.7517513  0.7517513  0.7517513  0.69314786 0.69143254 0.68971721
 0.63318409 0.62281022 0.61243635 0.57253045 0.56004441 0.54755838
 0.50975139 0.49643513 0.48311888 0.44453535 0.4304542  0.41637306
 0.37866861 0.37034586 0.36202311 0.31457981 0.31212201 0.30966421
 0.26644893 0.26411833 0.26178773 0.29968829 0.29858965 0.29749102]",
fixedse.tower_Asy,input,m**2,"[0.7517513  0.7517513  0.7517513  0.69314786 0.69143254 0.68971721
 0.63318409 0.62281022 0.61243635 0.57253045 0.56004441 0.54755838
 0.50975139 0.49643513 0.48311888 0.44453535 0.4304542  0.41637306
 0.37866861 0.37034586 0.36202311 0.31457981 0.31212201 0.30966421
 0.26644893 0.26411833 0.26178773 0.29968829 0.29858965 0.29749102]",
fixedse.tower_Ixx,input,kg*m**2,"[16.40013975 16.40013975 16.40013975 15.09545711 14.98348207 14.87206214
 13.40698645 12.75777839 12.12987393 10.91253595 10.21298083  9.54398044
  8.46357468  7.81647538  7.20323002  6.24918577  5.67304292  5.13344685
  4.41661107  4.13128195  3.85851423  3.25420908  3.17841114  3.10379943
  2.6294091   2.56091965  2.49362997  2.81553608  2.78463441  2.75395969]",
fixedse.tower_Iyy,input,kg*m**2,"[16.40013975 16.40013975 16.40013975 15.09545711 14.98348207 14.87206214
 13.40698645 12.75777839 12.12987393 10.91253595 10.21298083  9.54398044
  8.46357468  7.81647538  7.20323002  6.24918577  5.67304292  5.13344685
  4.41661107  4.13128195  3.85851423  3.25420908  3.17841114  3.10379943
  2.6294091   2.56091965  2.49362997  2.81553608  2.78463441  2.75395969]",
fixedse.tower_J0,input,kg*m**2,"[32.80027949 32.80027949 32.80027949 30.19091422 29.96696414 29.74412429
 26.8139729  25.51555677 24.25974787 21.82507191 20.42596166 19.08796089
 16.92714936 15.63295075 14.40646005 12.49837155 11.34608584 10.26689369
  8.83322215  8.26256389  7.71702846  6.50841817  6.35682227  6.20759887
  5.25881821  5.12183931  4.98725995  5.63107215  5.56926883  5.50791938]",
fixedse.tower_rho,input,kg/m**3,"[7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800.
 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800.
 7800. 7800. 7800. 7800. 7800. 7800.]",
fixedse.tower_E,input,Pa,"[2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11
 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11
 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11]",
fixedse.tower_G,input,Pa,"[7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10
 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10
 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10
 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10]",
fixedse.tower_d_full,input,m,"[10.         10.         10.         10.          9.97533333  9.95066667
  9.926       9.765       9.604       9.443       9.23966667  9.03633333
  8.833       8.60566667  8.37833333  8.151       7.89733333  7.64366667
  7.39        7.22966667  7.06933333  6.909       6.85533333  6.80166667
  6.748       6.68933333  6.63066667  6.572       6.548       6.524
  6.5       ]",
fixedse.tower_t_full,input,m,"[0.039496 0.039496 0.039496 0.036456 0.036456 0.036456 0.033779 0.033779
 0.033779 0.032192 0.032192 0.032192 0.030708 0.030708 0.030708 0.029101
 0.029101 0.029101 0.027213 0.027213 0.027213 0.024009 0.024009 0.024009
 0.020826 0.020826 0.020826 0.023998 0.023998 0.023998]",
fixedse.tower_sigma_y_full,input,Pa,"[3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08
 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08
 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08
 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08]",
fixedse.tower_qdyn,input,Pa,"[[137.06602959]
 [145.67383307]
 [152.91878301]
 [159.21568807]
 [164.81018451]
 [169.86076427]
 [174.47614462]
 [178.73440849]
 [182.69368417]
 [186.39850846]
 [189.88382043]
 [193.17757643]
 [196.30252377]
 [199.27743979]
 [202.11801999]
 [204.83752861]
 [207.4472846 ]
 [209.9570307 ]
 [212.37521824]
 [214.70922964]
 [216.96555459]
 [219.14993096]
 [221.26745868]
 [223.32269265]
 [225.31971915]
 [227.26221916]
 [229.15352124]
 [230.99664594]
 [232.71042124]
 [234.38513737]
 [236.02279604]]",
fixedse.tower_bending_height,input,m,[129.386],
fixedse.monopile.rna_F,input,N,"[[ 3787067.13656776]
 [   22429.58550329]
 [-6899732.01640333]]",
fixedse.monopile.rna_M,input,N*m,"[[ -1132298.37353474]
 [-13767289.45065132]
 [  9736599.74635904]]",
fixedse.turbine_F,input,N,"[[  3787067.13655857]
 [    22429.58550327]
 [-15413522.78122838]]",
fixedse.turbine_M,input,N*m,"[[-4.15978649e+06]
 [ 4.87962852e+08]
 [ 9.73659975e+06]]",
fixedse.transition_piece_I,output,kg*m**2,[1250000. 1250000. 2500000.       0.       0.       0.],
fixedse.gravity_foundation_I,output,kg*m**2,[0. 0. 0. 0. 0. 0.],
fixedse.transition_piece_height,output,m,[15.],
fixedse.turbine_mass,input,kg,[1806554.26120302],
fixedse.turbine_cg,input,m,[-3.87512498e+00 -5.22872098e-02  1.03257262e+02],
fixedse.turbine_I,input,kg*m**2,"[2.36826619e+10 2.35769851e+10 2.69882219e+08 8.51550094e+02
 1.95010988e+07 1.70684866e+05]",
fixedse.rna_mass,input,kg,[953094.14384621],
fixedse.rna_I,input,kg*m**2,"[3.78588733e+08 2.72911885e+08 2.53573171e+08 8.51550094e+02
 1.95010988e+07 1.70684866e+05]",
fixedse.rna_cg,input,m,[-7.3451543  -0.09910845  4.60303253],
