variables,type,units,values,description
blade.interp_airfoils.r_thick_interp,output,,"[1.         0.98202811 0.83422093 0.63368653 0.49837466 0.4410933
 0.40369869 0.38156768 0.36543958 0.35282655 0.34201519 0.33305383
 0.32527083 0.31794207 0.31034339 0.30175064 0.291356   0.27940307
 0.26721098 0.25611482 0.24721402 0.23860966 0.23008469 0.22230017
 0.21591718 0.21159678 0.21000003 0.21       0.21       0.21      ]",1D array of the relative thicknesses of the blade defined along span.
blade.interp_airfoils.ac_interp,output,,"[0.5        0.48947363 0.4054191  0.30007224 0.25       0.25
 0.25       0.25       0.25       0.25       0.25       0.25
 0.25       0.25       0.25       0.25       0.25       0.25
 0.25       0.25       0.25       0.25       0.25       0.25
 0.25       0.25       0.25       0.25       0.25       0.25      ]",1D array of the aerodynamic center of the blade defined along span.
blade.interp_airfoils.cl_interp,output,,"[[[[ 0.00000000e+00]]

  [[ 0.00000000e+00]]

  [[ 0.00000000e+00]]

  ...

  [[ 0.00000000e+00]]

  [[ 0.00000000e+00]]

  [[ 0.00000000e+00]]]


 [[[ 7.15569904e-05]]

  [[ 6.23768336e-03]]

  [[ 1.25964737e-02]]

  ...

  [[-1.25964737e-02]]

  [[-6.23768336e-03]]

  [[ 7.15569904e-05]]]


 [[[ 6.06785926e-04]]

  [[ 5.28940423e-02]]

  [[ 1.06895378e-01]]

  ...

  [[-1.06895378e-01]]

  [[-5.28940423e-02]]

  [[ 6.06785926e-04]]]


 ...


 [[[ 1.61056220e-03]]

  [[ 1.49675965e-01]]

  [[ 3.02327827e-01]]

  ...

  [[-2.83002022e-01]]

  [[-1.40393892e-01]]

  [[ 1.61056220e-03]]]


 [[[ 1.61056220e-03]]

  [[ 1.49675965e-01]]

  [[ 3.02327827e-01]]

  ...

  [[-2.83002022e-01]]

  [[-1.40393892e-01]]

  [[ 1.61056220e-03]]]


 [[[ 1.61056220e-03]]

  [[ 1.49675965e-01]]

  [[ 3.02327827e-01]]

  ...

  [[-2.83002022e-01]]

  [[-1.40393892e-01]]

  [[ 1.61056220e-03]]]]","4D array with the lift coefficients of the airfoils. Dimension 0 is along the blade span for n_span stations, dimension 1 is along the angles of attack, dimension 2 is along the Reynolds number, dimension 3 is along the number of tabs, which may describe multiple sets at the same station, for example in presence of a flap."
blade.interp_airfoils.cd_interp,output,,"[[[[0.5       ]]

  [[0.5       ]]

  [[0.5       ]]

  ...

  [[0.5       ]]

  [[0.5       ]]

  [[0.5       ]]]


 [[[0.49827287]]

  [[0.49937384]]

  [[0.49941838]]

  ...

  [[0.49941838]]

  [[0.49937384]]

  [[0.49827287]]]


 [[[0.44384458]]

  [[0.45178323]]

  [[0.45477177]]

  ...

  [[0.45477177]]

  [[0.45178323]]

  [[0.44384458]]]


 ...


 [[[0.037696  ]]

  [[0.037696  ]]

  [[0.04025918]]

  ...

  [[0.04229535]]

  [[0.0382528 ]]

  [[0.03769608]]]


 [[[0.037696  ]]

  [[0.037696  ]]

  [[0.04025918]]

  ...

  [[0.04229535]]

  [[0.0382528 ]]

  [[0.03769608]]]


 [[[0.037696  ]]

  [[0.037696  ]]

  [[0.04025918]]

  ...

  [[0.04229535]]

  [[0.0382528 ]]

  [[0.03769608]]]]","4D array with the drag coefficients of the airfoils. Dimension 0 is along the blade span for n_span stations, dimension 1 is along the angles of attack, dimension 2 is along the Reynolds number, dimension 3 is along the number of tabs, which may describe multiple sets at the same station, for example in presence of a flap."
blade.interp_airfoils.cm_interp,output,,"[[[[ 2.16840434e-19]]

  [[ 0.00000000e+00]]

  [[ 0.00000000e+00]]

  ...

  [[ 0.00000000e+00]]

  [[ 0.00000000e+00]]

  [[ 2.16840434e-19]]]


 [[[ 1.11539157e-04]]

  [[ 7.77837010e-03]]

  [[ 1.60285275e-02]]

  ...

  [[-2.00356594e-02]]

  [[-9.72296262e-03]]

  [[ 1.11539157e-04]]]


 [[[ 9.06500889e-04]]

  [[ 6.32163593e-02]]

  [[ 1.30267028e-01]]

  ...

  [[-1.62833785e-01]]

  [[-7.90204491e-02]]

  [[ 9.06500889e-04]]]


 ...


 [[[ 2.03767521e-01]]

  [[ 2.00000000e-01]]

  [[ 2.20799783e-01]]

  ...

  [[-3.16976160e-01]]

  [[-9.71630272e-02]]

  [[ 2.03767521e-01]]]


 [[[ 2.03767521e-01]]

  [[ 2.00000000e-01]]

  [[ 2.20799783e-01]]

  ...

  [[-3.16976160e-01]]

  [[-9.71630272e-02]]

  [[ 2.03767521e-01]]]


 [[[ 2.03767521e-01]]

  [[ 2.00000000e-01]]

  [[ 2.20799783e-01]]

  ...

  [[-3.16976160e-01]]

  [[-9.71630272e-02]]

  [[ 2.03767521e-01]]]]","4D array with the moment coefficients of the airfoils. Dimension 0 is along the blade span for n_span stations, dimension 1 is along the angles of attack, dimension 2 is along the Reynolds number, dimension 3 is along the number of tabs, which may describe multiple sets at the same station, for example in presence of a flap."
blade.interp_airfoils.coord_xy_interp,output,,"[[[ 1.00000000e+00  1.39471767e-15]
  [ 9.99492456e-01 -2.24148318e-02]
  [ 9.97998443e-01 -4.47793323e-02]
  ...
  [ 9.98052103e-01  4.41573285e-02]
  [ 9.99507691e-01  2.21028728e-02]
  [ 1.00000000e+00  1.39471767e-15]]

 [[ 1.00000000e+00 -3.16421773e-03]
  [ 9.99110945e-01 -2.47105921e-02]
  [ 9.97576994e-01 -4.67993845e-02]
  ...
  [ 9.97884994e-01  4.40785443e-02]
  [ 9.99371468e-01  2.18636293e-02]
  [ 1.00000000e+00 -1.46513661e-04]]

 [[ 1.00000000e+00 -1.94964271e-02]
  [ 9.96919760e-01 -3.64826078e-02]
  [ 9.94667087e-01 -5.60719522e-02]
  ...
  [ 9.96925214e-01  4.30168043e-02]
  [ 9.98589083e-01  2.09101531e-02]
  [ 1.00000000e+00 -1.10918874e-04]]

 ...

 [[ 1.00000000e+00 -1.24164223e-03]
  [ 9.76041164e-01  1.99488062e-03]
  [ 9.52121911e-01  4.75706135e-03]
  ...
  [ 9.53145851e-01  1.33087434e-02]
  [ 9.76587857e-01  7.46542749e-03]
  [ 1.00000000e+00  1.53836008e-03]]

 [[ 1.00000000e+00 -1.24164223e-03]
  [ 9.76041164e-01  1.99488062e-03]
  [ 9.52121911e-01  4.75706135e-03]
  ...
  [ 9.53145851e-01  1.33087434e-02]
  [ 9.76587857e-01  7.46542749e-03]
  [ 1.00000000e+00  1.53836008e-03]]

 [[ 1.00000000e+00 -1.24164223e-03]
  [ 9.76041164e-01  1.99488062e-03]
  [ 9.52121911e-01  4.75706135e-03]
  ...
  [ 9.53145851e-01  1.33087434e-02]
  [ 9.76587857e-01  7.46542749e-03]
  [ 1.00000000e+00  1.53836008e-03]]]",3D array of the non-dimensional x and y airfoil coordinates of the airfoils interpolated along span for n_span stations. The leading edge is place at x=0 and y=0.
blade.high_level_blade_props.rotor_diameter,output,m,[130.],Diameter of the rotor used in WISDEM. It is defined as two times the blade length plus the hub diameter.
blade.high_level_blade_props.r_blade,output,m,"[ 2.          4.17241379  6.34482759  8.51724138 10.68965517 12.86206897
 15.03448276 17.20689655 19.37931034 21.55172414 23.72413793 25.89655172
 28.06896552 30.24137931 32.4137931  34.5862069  36.75862069 38.93103448
 41.10344828 43.27586207 45.44827586 47.62068966 49.79310345 51.96551724
 54.13793103 56.31034483 58.48275862 60.65517241 62.82758621 65.        ]",1D array of the dimensional spanwise grid defined along the rotor (hub radius to blade tip projected on the plane)
blade.high_level_blade_props.rotor_radius,output,m,[65.],"Scalar of the rotor radius, defined ignoring prebend and sweep curvatures, and cone and uptilt angles."
blade.high_level_blade_props.blade_ref_axis,output,m,"[[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  2.17241379e+00]
 [ 0.00000000e+00  0.00000000e+00  4.34482759e+00]
 [-3.96069335e-05  0.00000000e+00  6.51724138e+00]
 [-4.41888313e-03  0.00000000e+00  8.68965517e+00]
 [-1.47437694e-02  0.00000000e+00  1.08620690e+01]
 [-2.78568630e-02  0.00000000e+00  1.30344828e+01]
 [-4.57535116e-02  0.00000000e+00  1.52068966e+01]
 [-6.71775652e-02  0.00000000e+00  1.73793103e+01]
 [-9.31591116e-02  0.00000000e+00  1.95517241e+01]
 [-1.23411088e-01  0.00000000e+00  2.17241379e+01]
 [-1.58235516e-01  0.00000000e+00  2.38965517e+01]
 [-1.99036574e-01  0.00000000e+00  2.60689655e+01]
 [-2.45757463e-01  0.00000000e+00  2.82413793e+01]
 [-2.98408959e-01  0.00000000e+00  3.04137931e+01]
 [-3.57814145e-01  0.00000000e+00  3.25862069e+01]
 [-4.24076326e-01  0.00000000e+00  3.47586207e+01]
 [-4.98895254e-01  0.00000000e+00  3.69310345e+01]
 [-5.81761222e-01  0.00000000e+00  3.91034483e+01]
 [-6.75146021e-01  0.00000000e+00  4.12758621e+01]
 [-7.78279295e-01  0.00000000e+00  4.34482759e+01]
 [-8.93706090e-01  0.00000000e+00  4.56206897e+01]
 [-1.02166869e+00  0.00000000e+00  4.77931034e+01]
 [-1.16547581e+00  0.00000000e+00  4.99655172e+01]
 [-1.32474427e+00  0.00000000e+00  5.21379310e+01]
 [-1.50426524e+00  0.00000000e+00  5.43103448e+01]
 [-1.70625884e+00  0.00000000e+00  5.64827586e+01]
 [-1.93449304e+00  0.00000000e+00  5.86551724e+01]
 [-2.19383653e+00  0.00000000e+00  6.08275862e+01]
 [-2.50000000e+00  0.00000000e+00  6.30000000e+01]]","2D array of the coordinates (x,y,z) of the blade reference axis scaled based on rotor diameter, defined along blade span. The coordinate system is the one of BeamDyn: it is placed at blade root with x pointing the suction side of the blade, y pointing the trailing edge and z along the blade span. A standard configuration will have negative x values (prebend), if swept positive y values, and positive z values."
blade.high_level_blade_props.prebend,output,m,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.96069335e-05
 -4.41888313e-03 -1.47437694e-02 -2.78568630e-02 -4.57535116e-02
 -6.71775652e-02 -9.31591116e-02 -1.23411088e-01 -1.58235516e-01
 -1.99036574e-01 -2.45757463e-01 -2.98408959e-01 -3.57814145e-01
 -4.24076326e-01 -4.98895254e-01 -5.81761222e-01 -6.75146021e-01
 -7.78279295e-01 -8.93706090e-01 -1.02166869e+00 -1.16547581e+00
 -1.32474427e+00 -1.50426524e+00 -1.70625884e+00 -1.93449304e+00
 -2.19383653e+00 -2.50000000e+00]",Blade prebend at each section
blade.high_level_blade_props.prebendTip,output,m,[-2.5],Blade prebend at tip
blade.high_level_blade_props.presweep,output,m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",Blade presweep at each section
blade.high_level_blade_props.presweepTip,output,m,[0.],Blade presweep at tip
blade.high_level_blade_props.blade_length,output,m,[63.09459977],"Scalar of the 3D blade length computed along its axis, scaled based on the user defined rotor diameter."
blade.compute_reynolds.Re,output,,"[1465785.85460944 1659557.42640992 2149781.14257029 2805655.6969488
 3559993.77636372 4366979.1417851  5120420.20141354 5842098.6636624
 6485973.51111195 7028578.90877782 7444348.10403015 7730373.35005648
 7885585.01404979 7920121.61056879 7863559.7569025  7763440.22586375
 7649345.72552361 7534556.62950884 7428513.54852074 7341433.17877757
 7284286.85091954 7269028.43056895 7306922.56010565 7407181.28274086
 7559629.99552372 7604705.42045967 7285385.92137499 6302609.64957657
 4318458.38148951  960510.74975204]",
blade.compute_coord_xy_dim.coord_xy_dim,output,m,"[[[ 1.30000000e+00  3.62626595e-15]
  [ 1.29868039e+00 -5.82785627e-02]
  [ 1.29479595e+00 -1.16426264e-01]
  ...
  [ 1.29493547e+00  1.14809054e-01]
  [ 1.29872000e+00  5.74674694e-02]
  [ 1.30000000e+00  3.62626595e-15]]

 [[ 1.37145261e+00 -8.35356899e-03]
  [ 1.36910549e+00 -6.52362301e-02]
  [ 1.36505585e+00 -1.23550881e-01]
  ...
  [ 1.36586897e+00  1.16367833e-01]
  [ 1.36979328e+00  5.77202177e-02]
  [ 1.37145261e+00 -3.86797649e-04]]

 [[ 1.78319279e+00 -5.88926403e-02]
  [ 1.77388835e+00 -1.10202607e-01]
  [ 1.76708372e+00 -1.69375922e-01]
  ...
  [ 1.77390482e+00  1.29940382e-01]
  [ 1.77893085e+00  6.31630667e-02]
  [ 1.78319279e+00 -3.35051408e-04]]

 ...

 [[ 1.01678897e+00 -1.73063212e-03]
  [ 9.83394543e-01  2.78051470e-03]
  [ 9.50055287e-01  6.63051156e-03]
  ...
  [ 9.51482481e-01  1.85500608e-02]
  [ 9.84156538e-01  1.04055003e-02]
  [ 1.01678897e+00  2.14420491e-03]]

 [[ 6.76212012e-01 -1.14485427e-03]
  [ 6.54120805e-01  1.83937655e-03]
  [ 6.32066095e-01  4.38624096e-03]
  ...
  [ 6.33010218e-01  1.22713060e-02]
  [ 6.54624883e-01  6.88348571e-03]
  [ 6.76212012e-01  1.41844250e-03]]

 [[ 1.50000000e-01 -2.48328447e-04]
  [ 1.45208233e-01  3.98976124e-04]
  [ 1.40424382e-01  9.51412271e-04]
  ...
  [ 1.40629170e-01  2.66174869e-03]
  [ 1.45317571e-01  1.49308550e-03]
  [ 1.50000000e-01  3.07672016e-04]]]",3D array of the dimensional x and y airfoil coordinates of the airfoils interpolated along span for n_span stations. The origin is placed at the pitch axis.
blade.compute_coord_xy_dim.coord_xy_dim_twisted,output,m,"[[[ 1.22162968  0.44454574]
  [ 1.24031846  0.38932924]
  [ 1.25655228  0.33335865]
  ...
  [ 1.17761056  0.55070169]
  [ 1.20077537  0.49811109]
  [ 1.22162968  0.44454574]]

 [[ 1.29588324  0.44904193]
  [ 1.31262146  0.39462706]
  [ 1.3282315   0.33829479]
  ...
  [ 1.24906596  0.56477761]
  [ 1.27230532  0.51078803]
  [ 1.29322901  0.45655355]]

 [[ 1.70740429  0.5177021 ]
  [ 1.71509516  0.46612559]
  [ 1.72768187  0.40790739]
  ...
  [ 1.63788194  0.69351682]
  [ 1.66411623  0.63190325]
  [ 1.68857246  0.57314895]]

 ...

 [[ 1.01590197 -0.04249688]
  [ 0.98271527 -0.03665043]
  [ 0.94955719 -0.03146681]
  ...
  [ 0.95146114 -0.01961407]
  [ 0.98378237 -0.02906213]
  [ 1.01605733 -0.03862516]]

 [[ 0.67500292 -0.04043587]
  [ 0.65312244 -0.03617302]
  [ 0.63125299 -0.03234892]
  ...
  [ 0.6326537  -0.02453204]
  [ 0.65391877 -0.03116673]
  [ 0.67515186 -0.03787691]]

 [[ 0.1494881  -0.01238423]
  [ 0.14476442 -0.01135134]
  [ 0.14004095 -0.01041365]
  ...
  [ 0.14038345 -0.00872549]
  [ 0.14496193 -0.01026967]
  [ 0.14953309 -0.01183006]]]",3D array of the dimensional x and y airfoil coordinates of the airfoils interpolated along span for n_span stations. The origin is placed at the pitch axis.
blade.compute_coord_xy_dim.wetted_area,output,m**2,[69.26027394],The wetted (painted) surface area of the blade
blade.compute_coord_xy_dim.projected_area,output,m**2,[69.7974979],The projected surface area of the blade
blade.internal_structure_2d_fem.joint_position,output,,[0.],Spanwise position of the segmentation joint.
blade.internal_structure_2d_fem.joint_mass,output,kg,[0.],Mass of the joint.
blade.internal_structure_2d_fem.joint_nonmaterial_cost,output,USD,[0.],Cost of the joint.
blade.internal_structure_2d_fem.d_f,output,m,[0.03],Diameter of the fastener
blade.internal_structure_2d_fem.sigma_max,output,Pa,[6.75e+08],Max stress on bolt
blade.internal_structure_2d_fem.joint_bolt,output,Unavailable,M30,"Type of bolt: M30, M36, or M48"
blade.internal_structure_2d_fem.reinforcement_layer_ss,output,Unavailable,joint_reinf_ss,"Layer identifier for the reinforcement layer at the join where bolts are inserted, suction side"
blade.internal_structure_2d_fem.reinforcement_layer_ps,output,Unavailable,joint_reinf_ps,"Layer identifier for the reinforcement layer at the join where bolts are inserted, pressure side"
blade.internal_structure_2d_fem.web_rotation,output,rad,"[[-0.349      -0.33965701 -0.32741368 -0.31081014 -0.27858944 -0.2354309
  -0.19864576 -0.1686555  -0.13843916 -0.11106032 -0.08612175 -0.06571169
  -0.05023676 -0.03944053 -0.03041456 -0.02364328 -0.01824169 -0.01263081
  -0.00691721 -0.00280744  0.00096308  0.00441804  0.00790973  0.01224484
   0.01713418  0.02222183  0.02894752  0.04010525  0.0581402   0.081     ]
 [-0.349      -0.33965701 -0.32741368 -0.31081014 -0.27858944 -0.2354309
  -0.19864576 -0.1686555  -0.13843916 -0.11106032 -0.08612175 -0.06571169
  -0.05023676 -0.03944053 -0.03041456 -0.02364328 -0.01824169 -0.01263081
  -0.00691721 -0.00280744  0.00096308  0.00441804  0.00790973  0.01224484
   0.01713418  0.02222183  0.02894752  0.04010525  0.0581402   0.081     ]]","2D array of the rotation angle of the shear webs in respect to the chord line. The first dimension represents each shear web, the second dimension represents each entry along blade span. If the rotation is equal to negative twist +- a constant, then the web is built straight."
blade.internal_structure_2d_fem.web_start_nd,output,,"[[0.19445041 0.20130844 0.2265798  0.29443028 0.32236939 0.33841748
  0.35046649 0.35848393 0.36788314 0.37368328 0.37648134 0.37821543
  0.37836435 0.37640734 0.37326706 0.37011846 0.36680881 0.36413453
  0.36168175 0.35890107 0.35727301 0.35606724 0.35601381 0.35840264
  0.36200779 0.36622096 0.37118645 0.37585834 0.35895191 0.36786986]
 [0.19445041 0.20130844 0.2265798  0.22014868 0.25239666 0.27119133
  0.28491374 0.29279574 0.30228526 0.30750775 0.30840526 0.30696831
  0.30287321 0.29557174 0.28596425 0.27542742 0.26417454 0.2534493
  0.2429885  0.23221659 0.22286363 0.21450911 0.20830707 0.20597046
  0.20616024 0.20487057 0.19594763 0.16476689 0.35895191 0.36786986]]","2D array of the non-dimensional start point defined along the outer profile of a web. The TE suction side is 0, the TE pressure side is 1. The first dimension represents each web, the second dimension represents each entry along blade span."
blade.internal_structure_2d_fem.web_end_nd,output,,"[[0.69445853 0.68705429 0.64852358 0.59481407 0.59124469 0.59656007
  0.59771822 0.60279558 0.61108141 0.61530721 0.61719344 0.61880392
  0.6208346  0.62409823 0.62831172 0.63246089 0.63643353 0.63903383
  0.64085578 0.64292298 0.64424092 0.64521151 0.64506029 0.64260635
  0.63907732 0.63507257 0.63061426 0.62696166 0.64593763 0.63918736]
 [0.69445853 0.68705429 0.64852358 0.66277183 0.65624104 0.66054108
  0.66068388 0.66599558 0.67462558 0.67989707 0.68402522 0.68905267
  0.69561116 0.70442369 0.71505935 0.72621723 0.73767642 0.74825165
  0.75829277 0.76845315 0.77735314 0.78528108 0.79113957 0.79334969
  0.79321163 0.79461715 0.80366753 0.83457068 0.64593763 0.63918736]]","2D array of the non-dimensional end point defined along the outer profile of a web. The TE suction side is 0, the TE pressure side is 1. The first dimension represents each web, the second dimension represents each entry along blade span."
blade.internal_structure_2d_fem.web_offset_y_pa,output,m,"[[ 0.          0.          0.         -0.25690553 -0.24752998 -0.23845688
  -0.23163199 -0.22245304 -0.21289352 -0.20673231 -0.19748705 -0.1884558
  -0.18155514 -0.17250793 -0.1635676  -0.15699808 -0.14746376 -0.1392591
  -0.13181691 -0.12206055 -0.11439878 -0.10671818 -0.09725758 -0.09014404
  -0.08167309 -0.07229802 -0.06539204 -0.05680662  0.          0.        ]
 [ 0.          0.          0.          0.34309447  0.35247002  0.36154312
   0.36836801  0.37754696  0.38710648  0.39326769  0.40251295  0.4115442
   0.41844486  0.42749207  0.4364324   0.44300192  0.45253624  0.4607409
   0.46818309  0.47793945  0.48560122  0.49328182  0.50274242  0.50985596
   0.51832691  0.52770198  0.53460796  0.54319338  0.          0.        ]]","2D array of the offset along the y axis to set the position of the shear webs. Positive values move the web towards the trailing edge, negative values towards the leading edge. The first dimension represents each shear web, the second dimension represents each entry along blade span."
blade.internal_structure_2d_fem.layer_rotation,output,rad,"[[ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [-0.349      -0.33965701 -0.32741368 -0.31081014 -0.27858944 -0.2354309
  -0.19864576 -0.1686555  -0.13843916 -0.11106032 -0.08612175 -0.06571169
  -0.05023676 -0.03944053 -0.03041456 -0.02364328 -0.01824169 -0.01263081
  -0.00691721 -0.00280744  0.00096308  0.00441804  0.00790973  0.01224484
   0.01713418  0.02222183  0.02894752  0.04010525  0.0581402   0.081     ]
 [-0.349      -0.33965701 -0.32741368 -0.31081014 -0.27858944 -0.2354309
  -0.19864576 -0.1686555  -0.13843916 -0.11106032 -0.08612175 -0.06571169
  -0.05023676 -0.03944053 -0.03041456 -0.02364328 -0.01824169 -0.01263081
  -0.00691721 -0.00280744  0.00096308  0.00441804  0.00790973  0.01224484
   0.01713418  0.02222183  0.02894752  0.04010525  0.0581402   0.081     ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]]","2D array of the rotation angle of a layer in respect to the chord line. The first dimension represents each layer, the second dimension represents each entry along blade span. If the rotation is equal to negative twist +- a constant, then the layer is built straight."
