variables,units,values,description
towerse.tower.mIyy,kg*m**2,[2.17707816e+08 1.25000000e+06 0.00000000e+00],
towerse.tower.mIzz,kg*m**2,[1.75876219e+08 2.50000000e+06 0.00000000e+00],
towerse.tower.mIxy,kg*m**2,[-361.26815447    0.            0.        ],
towerse.tower.mIxz,kg*m**2,[1464438.24538988       0.               0.        ],
towerse.tower.mIyz,kg*m**2,[-392126.9315817       0.              0.       ],
towerse.tower.mrhox,m,[-2.66283085  0.          0.        ],
towerse.tower.mrhoy,m,[0.21516361 0.         0.        ],
towerse.tower.mrhoz,m,[0.57636484 0.         0.        ],
towerse.tower.plidx,,[117.],
towerse.tower.Fx,N,[3757965.82161763],
towerse.tower.Fy,N,[-39268.83844308],
towerse.tower.Fz,N,[-7326478.88681398],
towerse.tower.Mxx,N*m,[-708387.76078848],
towerse.tower.Myy,N*m,[-13731347.81152232],
towerse.tower.Mzz,N*m,[8572070.32705766],
towerse.tower.Px,N/m,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.81814743e+03
 1.82138560e+03 1.83111914e+03 1.84740524e+03 1.87033967e+03
 1.90005734e+03 1.93673326e+03 1.93674935e+03 1.93676544e+03
 1.93678153e+03 2.03191191e+03 2.15802810e+03 2.31814226e+03
 2.31817793e+03 2.31821361e+03 2.31824928e+03 2.51625557e+03
 2.75700436e+03 3.04656766e+03 3.04663094e+03 3.04669422e+03
 3.04675751e+03 3.39271713e+03 3.80443301e+03 4.29364255e+03
 4.29374909e+03 4.29385564e+03 4.29396218e+03 4.87548098e+03
 5.56792906e+03 6.39507819e+03 6.39525903e+03 6.39543988e+03
 6.39562073e+03 7.38802212e+03 8.58476664e+03 1.00364734e+04
 4.89754864e+00 6.91460413e+00 8.44141410e+00 2.76279346e+02
 3.66179163e+02 4.30355802e+02 4.30367169e+02 4.30378535e+02
 4.30389901e+02 4.82166973e+02 5.26396264e+02 5.65454952e+02
 5.65462350e+02 5.65469747e+02 5.65477144e+02 6.00728472e+02
 6.33040070e+02 6.62998837e+02 6.63056709e+02 6.63114574e+02
 6.63172431e+02 7.32699106e+02 7.93520364e+02 8.48141686e+02
 8.48181777e+02 8.48221865e+02 8.48261950e+02 8.95987905e+02
 9.39762306e+02 9.80295513e+02 9.80327498e+02 9.80359482e+02
 9.80391464e+02 1.00402869e+03 1.02418155e+03 1.04124737e+03
 1.04127319e+03 1.04129901e+03 1.04132483e+03 1.05077311e+03
 1.05746344e+03 1.06164587e+03 1.06166700e+03 1.06168813e+03
 1.06170926e+03 1.06064598e+03 1.05735595e+03 1.05200719e+03
 1.05202461e+03 1.05204203e+03 1.05205944e+03 1.04138456e+03
 1.02881409e+03 1.01445814e+03 1.01447248e+03 1.01448682e+03
 1.01450116e+03 1.01109822e+03 1.00646711e+03 1.00066945e+03
 1.00068183e+03 1.00069420e+03 1.00070657e+03 1.00895438e+03
 1.01659365e+03 1.02365464e+03 1.02366592e+03 1.02367719e+03
 1.02368846e+03 1.02945447e+03 1.03467457e+03 1.03937257e+03
 1.03938289e+03 1.03939320e+03 1.03940352e+03 1.04834365e+03
 1.05696576e+03 1.06528285e+03]",
towerse.tower.Py,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",
towerse.tower.Pz,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",
towerse.tower.qdyn,N/m**2,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 3.11498549e+05
 3.03131121e+05 2.94781336e+05 2.86449246e+05 2.78134940e+05
 2.69838539e+05 2.61560204e+05 2.61556897e+05 2.61553589e+05
 2.61550281e+05 2.45051962e+05 2.28628699e+05 2.12283107e+05
 2.12279845e+05 2.12276583e+05 2.12273321e+05 1.96008701e+05
 1.79828930e+05 1.63738649e+05 1.63735440e+05 1.63732230e+05
 1.63729021e+05 1.47733697e+05 1.31839512e+05 1.16053604e+05
 1.16050457e+05 1.16047311e+05 1.16044164e+05 1.00374726e+05
 8.48308930e+04 6.94230604e+04 6.94199926e+04 6.94169247e+04
 6.94138569e+04 5.41538334e+04 3.90547217e+04 2.41313517e+04
 1.29865838e+00 1.71359000e+00 2.01531725e+00 3.91879365e+01
 5.17025891e+01 6.08038984e+01 6.08055198e+01 6.08071411e+01
 6.08087624e+01 6.82219753e+01 7.45895304e+01 8.02312249e+01
 8.02322946e+01 8.02333643e+01 8.02344340e+01 8.53359573e+01
 9.00167357e+01 9.43582605e+01 9.43666474e+01 9.43750331e+01
 9.43834177e+01 1.04454225e+02 1.13245962e+02 1.21117427e+02
 1.21123194e+02 1.21128961e+02 1.21134727e+02 1.28303773e+02
 1.34917345e+02 1.41077243e+02 1.41081831e+02 1.41086419e+02
 1.41091006e+02 1.46870992e+02 1.52328472e+02 1.57507387e+02
 1.57511276e+02 1.57515165e+02 1.57519053e+02 1.62453844e+02
 1.67173448e+02 1.71701205e+02 1.71704622e+02 1.71708039e+02
 1.71711456e+02 1.76066473e+02 1.80265624e+02 1.84322952e+02
 1.84326024e+02 1.84329096e+02 1.84332168e+02 1.88259483e+02
 1.92067598e+02 1.95765700e+02 1.95768507e+02 1.95771313e+02
 1.95774120e+02 1.99370069e+02 2.02871272e+02 2.06284107e+02
 2.06286701e+02 2.06289296e+02 2.06291891e+02 2.09621881e+02
 2.12874356e+02 2.16053948e+02 2.16056369e+02 2.16058790e+02
 2.16061210e+02 2.19171964e+02 2.22217863e+02 2.25202390e+02
 2.25204665e+02 2.25206939e+02 2.25209214e+02 2.27998383e+02
 2.30737287e+02 2.33428273e+02]",
towerse.E_full,N/m**2,"[2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11
 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11
 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11
 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11
 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11
 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11
 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11
 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11
 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11
 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11
 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11
 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11]",modulus of elasticity
towerse.G_full,Pa,"[7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10
 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10
 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10
 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10
 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10
 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10
 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10
 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10
 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10
 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10
 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10
 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10
 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10
 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10
 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10]",Isotropic shear modulus of the materials along the tower sections.
towerse.rho_full,kg/m**3,"[7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800.
 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800.
 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800.
 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800.
 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800.
 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800.
 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800.
 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800.
 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800.
 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800.]",Density of the materials along the tower sections.
towerse.sigma_y_full,N/m**2,"[3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08
 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08
 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08
 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08
 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08
 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08
 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08
 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08
 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08
 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08
 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08
 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08
 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08
 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08
 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08]",yield stress
towerse.post.Fz,N,"[-35076146.15784676 -33092431.76159182 -31108717.36533689
 -30998511.00998928 -30888304.65464178 -30778098.29929382
 -30667891.9439468  -30557685.58859858 -30447479.23325062
 -30447435.89972015 -30447392.56692569 -30447349.23413123
 -30234474.10249851 -30021598.97039487 -29808723.83829119
 -29808682.0234116  -29808640.2089061  -29808598.3952541
 -29603409.81546336 -29398221.23482827 -29193032.65419269
 -29192992.39548258 -29192952.13471586 -29192911.87559267
 -28995579.38027342 -28798246.884978   -28600914.38968265
 -28600875.71149173 -28600837.03542983 -28600798.35827364
 -28411436.15764535 -28222073.95645471 -28032711.75526385
 -28032674.66850762 -28032637.58214849 -28032600.49593874
 -27851172.12525327 -27669743.7549803  -27488315.38470747
 -27488279.8806219  -27488244.37921253 -27488208.87635383
 -27314677.8737657  -27141146.87122423 -26967615.8686819
 -26967581.66626507 -26967547.46069606 -26967513.25806328
 -26799083.47833663 -26630653.69955643 -26462223.92077608
 -26462190.698077   -26462157.47597588 -26462124.2522365
 -26298395.90990368 -26134667.56835655 -25970939.22680965
 -24989984.90953979 -24989663.59226797 -24989342.27483834
 -24580012.52121722 -24170682.76776223 -23761353.01430674
 -23761049.98371372 -23760746.95304269 -23760443.92217489
 -23382972.74727547 -23006437.21616091 -22630837.37026618
 -22630559.15034351 -22630280.93031864 -22630002.71029377
 -22285152.24234596 -21945960.39973176 -21612427.16168973
 -21612178.53762647 -21611929.91369651 -21611681.28956354
 -21299866.6883904  -20994862.85138572 -20696669.7785661
 -20696448.05610098 -20696226.333811   -20696004.61124948
 -20418390.55919381 -20148040.12390109 -19884953.30536565
 -19884758.77793466 -19884564.25047528 -19884369.72285708
 -19642284.21727908 -19407879.58206307 -19181155.79669445
 -19180989.76045971 -19180823.72443177 -19180657.68826827
 -18974450.91091598 -18772783.93811863 -18575656.79058541
 -18575515.58280791 -18575374.37515512 -18575233.16738705
 -18403908.29145585 -18233924.09084548 -18065280.53454476
 -18065159.76798995 -18065039.00139744 -18064918.23490352
 -17919780.76846484 -17775914.56315596 -17633319.61880649
 -17633202.0412207  -17633084.46378898 -17632966.88635726
 -17477478.75262214 -17322561.57282181 -17168215.33704871]",
towerse.post.Mxx,N*m,"[ 5595773.32422011  4990621.94560113  4377687.36004345  4343475.35640365
  4309266.97972536  4275042.25121009  4240801.49643761  4206545.03922701
  4172273.20163441  4172259.4876709   4172245.77697754  4172232.06628418
  4103649.19971824  4035004.89960197  3966301.75180009  3966287.98156738
  3966274.23486328  3966260.48840332  3897498.59542605  3828679.13214493
  3759804.64877102  3759790.84533691  3759777.06481934  3759763.28393555
  3690833.736931    3621850.23190892  3552815.28751206  3552801.45385742
  3552787.64160156  3552773.8293457   3483687.26385972  3414550.13513732
  3345364.93414143  3345351.07226562  3345337.23046875  3345323.38867188
  3276089.83920911  3206808.99053726  3137483.30947053  3137469.42102051
  3137455.55151367  3137441.68139648  3068070.79234508  2998655.75095785
  2929199.00403172  2929185.09094238  2929171.19482422  2929157.29943848
  2859659.40511191  2790121.89446893  2720547.1724737   2720533.23718262
  2720519.31835938  2720505.39929199  2650894.12651935  2581247.88943467
  2511569.04913694  2511429.96386719  2511290.89363098  2511151.82325745
  2330310.81819672  2149296.16333078  1968146.57539362  1968006.93676758
  1967867.51277161  1967728.08869934  1786462.56629165  1605096.45164742
  1423664.49584797  1423524.71932983  1423385.10261536  1423245.48583984
  1241764.30777465  1060243.99993236   878709.7350051    878569.94232178
   878430.26098633   878290.57966614   696760.4295636    515253.46189193
   333799.31148295   333659.6581192    333520.06012726   333380.46222687
   152006.02283017   -29256.46112805  -210364.2092417   -210503.48729706
  -210642.78364563  -210782.07987213  -391688.80541571  -572335.57712564
  -752651.19014779  -752789.69029617  -752928.3126564   -753066.93476868
  -932964.88062058 -1112342.08478521 -1291096.36130181 -1291233.42041779
 -1291370.73591995 -1291508.05095673 -1469502.02697155 -1646578.77625583
 -1822631.50454992 -1822766.20730972 -1822901.30353546 -1823036.39904022
 -1997887.83972225 -2171315.80689166 -2343183.87835647 -2343315.00262856
 -2343446.66573954 -2343578.32791543 -2505830.92896326 -2666655.98234215
 -2825971.87420177]",
towerse.post.Myy,N*m,"[ 8.44849823e+08  7.82070357e+08  7.18132507e+08  7.14562008e+08
  7.10993228e+08  7.07422963e+08  7.03851266e+08  7.00278198e+08
  6.96703821e+08  6.96702391e+08  6.96700961e+08  6.96699531e+08
  6.89547348e+08  6.82390201e+08  6.75228787e+08  6.75227351e+08
  6.75225918e+08  6.75224485e+08  6.68059243e+08  6.60890777e+08
  6.53720101e+08  6.53718663e+08  6.53717229e+08  6.53715794e+08
  6.46543686e+08  6.39371141e+08  6.32199648e+08  6.32198210e+08
  6.32196776e+08  6.32195342e+08  6.25026215e+08  6.17861089e+08
  6.10702233e+08  6.10700799e+08  6.10699368e+08  6.10697937e+08
  6.03547599e+08  5.96408547e+08  5.89284461e+08  5.89283034e+08
  5.89281611e+08  5.89280188e+08  5.82160415e+08  5.75032223e+08
  5.67896263e+08  5.67894831e+08  5.67893403e+08  5.67891976e+08
  5.60748474e+08  5.53597677e+08  5.46440033e+08  5.46438598e+08
  5.46437166e+08  5.46435734e+08  5.39271411e+08  5.32100615e+08
  5.24923759e+08  5.24909451e+08  5.24895146e+08  5.24880840e+08
  5.06265157e+08  4.87616380e+08  4.68941009e+08  4.68926586e+08
  4.68912213e+08  4.68897840e+08  4.50198518e+08  4.31476221e+08
  4.12736389e+08  4.12721926e+08  4.12707507e+08  4.12693087e+08
  3.93937101e+08  3.75163361e+08  3.56373752e+08  3.56359252e+08
  3.56344794e+08  3.56330336e+08  3.37524418e+08  3.18700494e+08
  2.99859364e+08  2.99844825e+08  2.99830327e+08  2.99815828e+08
  2.80956047e+08  2.62075302e+08  2.43173876e+08  2.43159291e+08
  2.43144744e+08  2.43130198e+08  2.24205731e+08  2.05255134e+08
  1.86278315e+08  1.86263671e+08  1.86249064e+08  1.86234456e+08
  1.67229084e+08  1.48194916e+08  1.29136720e+08  1.29122022e+08
  1.29107353e+08  1.29092683e+08  1.10010895e+08  9.09091791e+07
  7.17983183e+07  7.17835961e+07  7.17688925e+07  7.17541888e+07
  5.26400056e+07  3.35305472e+07  1.44388468e+07  1.44241636e+07
  1.44094860e+07  1.43948085e+07 -3.76264941e+06 -2.18771225e+07
 -3.99382338e+07]",
towerse.post.axial_stress,N/m**2,"[-2.17924690e+08 -2.02090940e+08 -1.85986219e+08 -1.85087209e+08
 -1.84188601e+08 -1.83289646e+08 -1.82390357e+08 -1.81490746e+08
 -1.80590829e+08 -1.83682333e+08 -1.83681967e+08 -1.83681602e+08
 -1.85024062e+08 -1.83164009e+08 -1.81302923e+08 -1.84603377e+08
 -1.84602998e+08 -1.84602620e+08 -1.86101476e+08 -1.84174374e+08
 -1.82246718e+08 -1.85769751e+08 -1.85769358e+08 -1.85768966e+08
 -1.87434432e+08 -1.85435362e+08 -1.83436566e+08 -1.87182798e+08
 -1.87182391e+08 -1.87181983e+08 -1.89010967e+08 -1.86935922e+08
 -1.84862581e+08 -1.88783367e+08 -1.88782945e+08 -1.88782522e+08
 -1.90720813e+08 -1.88568807e+08 -1.86421046e+08 -1.90533800e+08
 -1.90533362e+08 -1.90532924e+08 -1.92596569e+08 -1.90356489e+08
 -1.88114107e+08 -1.90897728e+08 -1.90897273e+08 -1.90896818e+08
 -1.91457395e+08 -1.89146990e+08 -1.86834495e+08 -1.89458339e+08
 -1.89457871e+08 -1.89457402e+08 -1.89780578e+08 -1.87401745e+08
 -1.85021010e+08 -1.87784711e+08 -1.87779878e+08 -1.87775046e+08
 -1.85042221e+08 -1.78627275e+08 -1.72203659e+08 -1.79015336e+08
 -1.79010206e+08 -1.79005077e+08 -1.79876472e+08 -1.73730229e+08
 -1.67516540e+08 -1.74239637e+08 -1.74234019e+08 -1.74228401e+08
 -1.76173900e+08 -1.73791314e+08 -1.71154040e+08 -1.78050446e+08
 -1.78043867e+08 -1.78037287e+08 -1.77200366e+08 -1.75356258e+08
 -1.73170406e+08 -1.81056955e+08 -1.81049096e+08 -1.81041237e+08
 -1.79213270e+08 -1.77010523e+08 -1.74301850e+08 -1.83615359e+08
 -1.83605679e+08 -1.83595999e+08 -1.80892945e+08 -1.77834077e+08
 -1.73950207e+08 -1.85457598e+08 -1.85445110e+08 -1.85432621e+08
 -1.78553854e+08 -1.68042054e+08 -1.56359402e+08 -1.69530206e+08
 -1.69514504e+08 -1.69498803e+08 -1.60060165e+08 -1.40034791e+08
 -1.19349605e+08 -1.28602002e+08 -1.28583233e+08 -1.28564465e+08
 -1.12904745e+08 -8.76724753e+07 -6.16733178e+07 -5.76562796e+07
 -5.76368010e+07 -5.76173229e+07 -4.11035134e+07 -6.29587602e+07
 -8.57490807e+07]",
towerse.post.shear_stress,N/m**2,"[ 4658065.70185831  4661467.96726608  4648844.3379704   4639251.54883041
  4637500.06939033  4635736.00527068  4633952.99399467  4632144.56229203
  4630304.08718739  4709774.89262793  4709774.15067987  4709773.37147281
  4789937.82791457  4785793.18568354  4781362.61704179  4867948.38266698
  4867947.45625043  4867946.54118914  4955457.66489923  4950035.33801764
  4944063.74251683  5039121.76420556  5039120.48975142  5039119.16282179
  5133939.8021017   5126229.84964664  5117549.8974413   5221480.4907641
  5221478.59499584  5221476.69924927  5322631.47021524  5310954.97841411
  5297573.80354884  5409264.61283633  5409261.65854916  5409258.73968613
  5513058.18795606  5494397.24977722  5472635.68674871  5592619.67077885
  5592619.64112171  5592619.69639317  5721301.3396327   5720551.72493618
  5719613.09551786  5803071.94947919  5803071.7394298   5803071.55058924
  5891672.76055785  5890437.41840815  5889096.59362823  5970479.88162755
  5970479.59499255  5970479.3389829   6056668.55841789  6055104.18431731
  6053458.55970326  6168268.96319227  6168265.45951722  6168261.95240661
  6290335.91745612  6285225.9485197   6279702.81350726  6523861.23556074
  6523856.47544114  6523851.7196621   6802796.92032554  6812924.34249398
  6822771.28406421  7083795.07705576  7083789.09636552  7083783.09995568
  7422503.74124214  7537873.38482531  7656990.10382747  7900035.4449945
  7900028.33707659  7900021.21879044  8180403.87704832  8353237.72402188
  8533905.52278388  8827060.79821705  8827052.64974743  8827044.51461695
  9155181.38555798  9389965.66311292  9637749.75827452 10025021.25529512
 10025012.07562747 10025002.88985836 10460923.80703364 10791028.56238345
 11143653.2755626  11703983.45621204 11703973.07480629 11703962.70008227
 12237634.580531   12498851.06605786 12772145.54943738 13714543.2025497
 13714531.1545937  13714519.10523642 14677515.50808299 14776365.22557243
 14876616.99960422 15980312.00102776 15980297.61174309 15980283.24036846
 17264020.29731144 17396051.71176815 17530280.89477998 16355572.3726842
 16355557.33979873 16355542.29590508 15300208.09243692 15338856.56250738
 15377602.49099798]",
towerse.post.hoop_stress,N/m**2,"[ 0.00000000e+00  0.00000000e+00 -1.18497295e+07 -2.33811534e+07
 -2.27452132e+07 -2.21106173e+07 -2.14773710e+07 -2.08454824e+07
 -2.02149622e+07 -2.02885454e+07 -2.02882888e+07 -2.02880323e+07
 -2.00385919e+07 -1.87363826e+07 -1.74402144e+07 -1.71422158e+07
 -1.71419524e+07 -1.71416890e+07 -1.68336283e+07 -1.54959333e+07
 -1.41654264e+07 -1.37995175e+07 -1.37992470e+07 -1.37989765e+07
 -1.34199737e+07 -1.20459525e+07 -1.06809544e+07 -1.02335074e+07
 -1.02332300e+07 -1.02329525e+07 -9.76886492e+06 -8.35993879e+06
 -6.96282119e+06 -6.41871223e+06 -6.41842857e+06 -6.41814493e+06
 -5.85370624e+06 -4.41551914e+06 -2.99328014e+06 -1.17196884e+06
 -1.46285682e+02 -1.81089231e+02 -2.05245456e+03 -4.52752288e+03
 -5.60427716e+03 -6.15982394e+03 -6.15998820e+03 -6.16015244e+03
 -6.64758493e+03 -7.35756170e+03 -7.97627091e+03 -8.39920588e+03
 -8.39931787e+03 -8.39942985e+03 -8.80714912e+03 -9.32749693e+03
 -9.80741830e+03 -1.02579781e+04 -1.02588898e+04 -1.02598013e+04
 -1.10483245e+04 -1.20964134e+04 -1.30222967e+04 -1.40676325e+04
 -1.40683023e+04 -1.40689721e+04 -1.51416094e+04 -1.59243338e+04
 -1.66406323e+04 -1.77138548e+04 -1.77144308e+04 -1.77150068e+04
 -1.86774385e+04 -1.89737080e+04 -1.92036926e+04 -1.98230394e+04
 -1.98235288e+04 -1.98240182e+04 -2.03904570e+04 -2.03854899e+04
 -2.03262878e+04 -2.08184088e+04 -2.08188231e+04 -2.08192374e+04
 -2.12787741e+04 -2.10360058e+04 -2.07489655e+04 -2.12122784e+04
 -2.12126320e+04 -2.12129855e+04 -2.16405102e+04 -2.11558927e+04
 -2.06347815e+04 -2.11261894e+04 -2.11264922e+04 -2.11267951e+04
 -2.18271533e+04 -2.15706740e+04 -2.12881885e+04 -2.26166651e+04
 -2.26169496e+04 -2.26172340e+04 -2.43746171e+04 -2.45032014e+04
 -2.46160306e+04 -2.66266907e+04 -2.66269891e+04 -2.66272874e+04
 -2.89447288e+04 -2.90121193e+04 -2.90631017e+04 -2.68009439e+04
 -2.68012146e+04 -2.68014853e+04 -2.49309717e+04 -2.51125775e+04
 -2.52860771e+04]",
towerse.post.top_deflection_in,m,[4.27541344],
towerse.life,,[0.],
towerse.post.freqs,Hz,[0.12850791 0.12934033 0.67128313 0.75608936 0.82952466 1.40646575],Natural frequencies of the structure
towerse.post.x_mode_shapes,,"[[ 4.74586843e-01  2.79015288e+00 -6.07812718e+00  5.84089935e+00
  -2.02751189e+00]
 [ 7.69742236e+01 -1.88768674e+02  2.85824198e+02 -2.54804957e+02
   8.17752090e+01]
 [-2.97764928e+02  6.84397720e+02 -6.05934276e+02  6.02677226e+02
  -3.82375742e+02]]","6-degree polynomial coefficients of mode shapes in the x-direction (x^2..x^6, no linear or constant term)"
towerse.post.y_mode_shapes,,"[[   0.46364209    2.80564562   -6.08874189    5.8360992    -2.01664502]
 [  63.60160323 -147.04888105  214.27816545 -180.39303628   50.56214865]
 [   8.39289917  -29.85592441   53.16786187  -46.04329896   15.33846233]]","6-degree polynomial coefficients of mode shapes in the x-direction (x^2..x^6, no linear or constant term)"
towerse.post.x_mode_freqs,,[0.12934033 0.75608936 1.64731288],Frequencies associated with mode shapes in the x-direction
towerse.post.y_mode_freqs,,[0.12850791 0.67128313 0.82952466],Frequencies associated with mode shapes in the y-direction
tcons.rated_Omega,rpm,[7.49924093],rotor rotation speed at rated
tcons.tower_freq,Hz,[0.12850791],
tcons.blade_number,Unavailable,3,
tcons.tip_deflection,m,[22.7002325],
tcons.Rtip,m,[120.97],
