variables,units,values,description
blade.outer_shape_bem.pitch_axis,,"[0.5        0.49151228 0.46763951 0.44376674 0.41989397 0.4
 0.4        0.4        0.4        0.4        0.4        0.4
 0.4        0.4        0.4        0.4        0.4        0.4
 0.4        0.4        0.4        0.4        0.4        0.4
 0.4        0.4        0.4        0.4        0.4        0.4       ]","1D array of the chordwise position of the pitch axis (0-LE, 1-TE), defined along blade span."
blade.outer_shape_bem.ref_axis,m,"[[ 0.          0.          0.        ]
 [ 0.          0.          2.12068966]
 [ 0.          0.          4.24137931]
 [ 0.          0.          6.36206897]
 [ 0.          0.          8.48275862]
 [ 0.          0.         10.60344828]
 [ 0.          0.         12.72413793]
 [ 0.          0.         14.84482759]
 [ 0.          0.         16.96551724]
 [ 0.          0.         19.0862069 ]
 [ 0.          0.         21.20689655]
 [ 0.          0.         23.32758621]
 [ 0.          0.         25.44827586]
 [ 0.          0.         27.56896552]
 [ 0.          0.         29.68965517]
 [ 0.          0.         31.81034483]
 [ 0.          0.         33.93103448]
 [ 0.          0.         36.05172414]
 [ 0.          0.         38.17241379]
 [ 0.          0.         40.29310345]
 [ 0.          0.         42.4137931 ]
 [ 0.          0.         44.53448276]
 [ 0.          0.         46.65517241]
 [ 0.          0.         48.77586207]
 [ 0.          0.         50.89655172]
 [ 0.          0.         53.01724138]
 [ 0.          0.         55.13793103]
 [ 0.          0.         57.25862069]
 [ 0.          0.         59.37931034]
 [ 0.          0.         61.5       ]]","2D array of the coordinates (x,y,z) of the blade reference axis, defined along blade span. The coordinate system is the one of BeamDyn: it is placed at blade root with x pointing the suction side of the blade, y pointing the trailing edge and z along the blade span. A standard configuration will have negative x values (prebend), if swept positive y values, and positive z values."
blade.pa.twist_param,rad,"[0.23226842 0.23226842 0.23226842 0.23226842 0.23226842 0.22951802
 0.21301563 0.19758752 0.18568919 0.17424314 0.16385241 0.15324653
 0.14226901 0.13115458 0.11986109 0.10887454 0.09819493 0.08756648
 0.07697715 0.06701673 0.05742043 0.04944819 0.04217197 0.03498573
 0.02782686 0.0206485  0.01357875 0.00690278 0.00312109 0.00185005]",1D array of the twist values defined along blade span. The twist is the result of the parameterization.
blade.pa.chord_param,m,"[3.542      3.62806621 3.87018985 4.11303764 4.35527783 4.56518965
 4.61432759 4.62858621 4.52824138 4.42556897 4.31746552 4.20310345
 4.07793103 3.94894827 3.81498276 3.68437931 3.55713793 3.42989655
 3.30265517 3.17541379 3.04817241 2.92093103 2.79368966 2.66644828
 2.5392069  2.41196655 2.27386436 2.09774152 1.60299411 1.419     ]",1D array of the chord values defined along blade span. The chord is the result of the parameterization.
blade.pa.max_chord_constr,,"[0.74568421 0.76380341 0.81477681 0.86590266 0.9169006  0.96109256
 0.97143739 0.9744392  0.95331397 0.93169873 0.90894011 0.88486388
 0.8585118  0.83135753 0.80315426 0.7756588  0.74887114 0.72208348
 0.69529583 0.66850817 0.64172051 0.61493285 0.58814519 0.56135753
 0.53456987 0.50778243 0.47870829 0.44162979 0.33747244 0.29873684]",1D array of the ratio between chord values and maximum chord along blade span.
blade.interp_airfoils.r_thick_interp,,"[1.         0.98964428 0.87254312 0.68480309 0.50177122 0.39873514
 0.36623504 0.34586024 0.33129768 0.31976414 0.30840306 0.29440513
 0.2773373  0.26020528 0.24611865 0.23464382 0.22434731 0.21431102
 0.20287772 0.18938788 0.18061067 0.18       0.18       0.18
 0.18       0.18       0.18       0.18       0.18       0.18      ]",1D array of the relative thicknesses of the blade defined along span.
blade.interp_airfoils.ac_interp,,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",1D array of the aerodynamic center of the blade defined along span.
blade.interp_airfoils.cl_interp,,"[[[[-3.25260652e-19]]

  [[ 0.00000000e+00]]

  [[-1.04083409e-17]]

  ...

  [[ 4.33680869e-19]]

  [[-6.93889390e-18]]

  [[-3.25260652e-19]]]


 [[[ 3.62864642e-06]]

  [[ 3.27809762e-03]]

  [[ 6.88327980e-03]]

  ...

  [[-7.86986488e-03]]

  [[-4.34718901e-03]]

  [[ 3.62864642e-06]]]


 [[[ 5.54997382e-04]]

  [[ 3.78349529e-02]]

  [[ 7.81653661e-02]]

  ...

  [[-8.85753715e-02]]

  [[-4.86632636e-02]]

  [[ 5.54997382e-04]]]


 ...


 [[[-1.29808326e-03]]

  [[ 2.27043600e-01]]

  [[ 4.51840390e-01]]

  ...

  [[-4.95358408e-01]]

  [[-2.71512793e-01]]

  [[-1.29808326e-03]]]


 [[[-1.29808326e-03]]

  [[ 2.27043600e-01]]

  [[ 4.51840390e-01]]

  ...

  [[-4.95358408e-01]]

  [[-2.71512793e-01]]

  [[-1.29808326e-03]]]


 [[[-1.29808326e-03]]

  [[ 2.27043600e-01]]

  [[ 4.51840390e-01]]

  ...

  [[-4.95358408e-01]]

  [[-2.71512793e-01]]

  [[-1.29808326e-03]]]]","4D array with the lift coefficients of the airfoils. Dimension 0 is along the blade span for n_span stations, dimension 1 is along the angles of attack, dimension 2 is along the Reynolds number, dimension 3 is along the number of tabs, which may describe multiple sets at the same station, for example in presence of a flap."
blade.interp_airfoils.cd_interp,,"[[[[0.5       ]]

  [[0.5       ]]

  [[0.5       ]]

  ...

  [[0.5       ]]

  [[0.5       ]]

  [[0.5       ]]]


 [[[0.4900672 ]]

  [[0.48860917]]

  [[0.48784296]]

  ...

  [[0.48853086]]

  [[0.48903354]]

  [[0.4900672 ]]]


 [[[0.3844799 ]]

  [[0.37019691]]

  [[0.36273067]]

  ...

  [[0.3698606 ]]

  [[0.37447855]]

  [[0.3844799 ]]]


 ...


 [[[0.01799703]]

  [[0.03022812]]

  [[0.04946319]]

  ...

  [[0.04774129]]

  [[0.02879544]]

  [[0.01799703]]]


 [[[0.01799703]]

  [[0.03022812]]

  [[0.04946319]]

  ...

  [[0.04774129]]

  [[0.02879544]]

  [[0.01799703]]]


 [[[0.01799703]]

  [[0.03022812]]

  [[0.04946319]]

  ...

  [[0.04774129]]

  [[0.02879544]]

  [[0.01799703]]]]","4D array with the drag coefficients of the airfoils. Dimension 0 is along the blade span for n_span stations, dimension 1 is along the angles of attack, dimension 2 is along the Reynolds number, dimension 3 is along the number of tabs, which may describe multiple sets at the same station, for example in presence of a flap."
blade.interp_airfoils.cm_interp,,"[[[[-4.06575815e-20]]

  [[ 9.10729825e-18]]

  [[ 3.46944695e-18]]

  ...

  [[-1.08420217e-17]]

  [[-3.90312782e-18]]

  [[-4.06575815e-20]]]


 [[[ 5.03731484e-06]]

  [[ 1.80737887e-03]]

  [[ 3.50655024e-03]]

  ...

  [[-4.12486639e-03]]

  [[-2.12394533e-03]]

  [[ 5.03731484e-06]]]


 [[[ 6.62817646e-05]]

  [[ 2.02834839e-02]]

  [[ 3.93514303e-02]]

  ...

  [[-4.55711084e-02]]

  [[-2.34524370e-02]]

  [[ 6.62817646e-05]]]


 ...


 [[[-1.16934629e-07]]

  [[ 1.12800272e-01]]

  [[ 2.25800263e-01]]

  ...

  [[-2.25744029e-01]]

  [[-1.12745924e-01]]

  [[-1.16934629e-07]]]


 [[[-1.16934629e-07]]

  [[ 1.12800272e-01]]

  [[ 2.25800263e-01]]

  ...

  [[-2.25744029e-01]]

  [[-1.12745924e-01]]

  [[-1.16934629e-07]]]


 [[[-1.16934629e-07]]

  [[ 1.12800272e-01]]

  [[ 2.25800263e-01]]

  ...

  [[-2.25744029e-01]]

  [[-1.12745924e-01]]

  [[-1.16934629e-07]]]]","4D array with the moment coefficients of the airfoils. Dimension 0 is along the blade span for n_span stations, dimension 1 is along the angles of attack, dimension 2 is along the Reynolds number, dimension 3 is along the number of tabs, which may describe multiple sets at the same station, for example in presence of a flap."
blade.interp_airfoils.coord_xy_interp,,"[[[ 1.00000000e+00  4.33680869e-19]
  [ 9.99310113e-01 -2.24586628e-02]
  [ 9.97715675e-01 -4.48159779e-02]
  ...
  [ 9.97767307e-01  4.41944433e-02]
  [ 9.99327246e-01  2.21465777e-02]
  [ 1.00000000e+00 -6.93889390e-18]]

 [[ 1.00000000e+00 -1.79523317e-04]
  [ 9.98907231e-01 -2.19287005e-02]
  [ 9.96942612e-01 -4.35334724e-02]
  ...
  [ 9.97067481e-01  4.34585243e-02]
  [ 9.98961147e-01  2.18874403e-02]
  [ 1.00000000e+00  1.73653594e-04]]

 [[ 1.00000000e+00 -1.80437969e-03]
  [ 9.94647553e-01 -1.63171224e-02]
  [ 9.88734878e-01 -3.02596019e-02]
  ...
  [ 9.89615253e-01  3.57417519e-02]
  [ 9.95074439e-01  1.90424314e-02]
  [ 1.00000000e+00  1.74538340e-03]]

 ...

 [[ 1.00000000e+00  1.15158179e-04]
  [ 9.76517692e-01  2.75561392e-03]
  [ 9.52834515e-01  4.25516776e-03]
  ...
  [ 9.53598747e-01  1.28938799e-02]
  [ 9.76918075e-01  6.56229716e-03]
  [ 1.00000000e+00  1.15158179e-04]]

 [[ 1.00000000e+00  1.15158179e-04]
  [ 9.76517692e-01  2.75561392e-03]
  [ 9.52834515e-01  4.25516776e-03]
  ...
  [ 9.53598747e-01  1.28938799e-02]
  [ 9.76918075e-01  6.56229716e-03]
  [ 1.00000000e+00  1.15158179e-04]]

 [[ 1.00000000e+00  1.15158179e-04]
  [ 9.76517692e-01  2.75561392e-03]
  [ 9.52834515e-01  4.25516776e-03]
  ...
  [ 9.53598747e-01  1.28938799e-02]
  [ 9.76918075e-01  6.56229716e-03]
  [ 1.00000000e+00  1.15158179e-04]]]",3D array of the non-dimensional x and y airfoil coordinates of the airfoils interpolated along span for n_span stations. The leading edge is place at x=0 and y=0.
blade.interp_airfoils.coord_xy_dim,m,"[[[ 1.77100000e+00  1.53609764e-18]
  [ 1.76855642e+00 -7.95485836e-02]
  [ 1.76290892e+00 -1.58738194e-01]
  ...
  [ 1.76309180e+00  1.56536718e-01]
  [ 1.76861710e+00  7.84431781e-02]
  [ 1.77100000e+00 -2.45775622e-17]]

 [[ 1.84482712e+00 -6.51322482e-04]
  [ 1.84086248e+00 -7.95587774e-02]
  [ 1.83373471e+00 -1.57942320e-01]
  ...
  [ 1.83418774e+00  1.57670403e-01]
  [ 1.84105809e+00  7.94090826e-02]
  [ 1.84482712e+00  6.30026739e-04]]

 [[ 2.06033616e+00 -6.98329196e-03]
  [ 2.03962118e+00 -6.31503616e-02]
  [ 2.01673800e+00 -1.17110404e-01]
  ...
  [ 2.02014522e+00  1.38327366e-01]
  [ 2.04127330e+00  7.36978247e-02]
  [ 2.06033616e+00  6.75496514e-03]]

 ...

 [[ 1.25864491e+00  2.41572093e-04]
  [ 1.20938510e+00  5.78056573e-03]
  [ 1.15970392e+00  8.92624210e-03]
  ...
  [ 1.16130708e+00  2.70480273e-02]
  [ 1.21022500e+00  1.37660032e-02]
  [ 1.25864491e+00  2.41572093e-04]]

 [[ 9.61796466e-01  1.84597882e-04]
  [ 9.24154465e-01  4.41723288e-03]
  [ 8.86190472e-01  6.82100887e-03]
  ...
  [ 8.87415532e-01  2.06688136e-02]
  [ 9.24796277e-01  1.05193237e-02]
  [ 9.61796466e-01  1.84597882e-04]]

 [[ 8.51400000e-01  1.63409455e-04]
  [ 8.18078604e-01  3.91021615e-03]
  [ 7.84472177e-01  6.03808306e-03]
  ...
  [ 7.85556622e-01  1.82964156e-02]
  [ 8.18646749e-01  9.31189967e-03]
  [ 8.51400000e-01  1.63409455e-04]]]",3D array of the dimensional x and y airfoil coordinates of the airfoils interpolated along span for n_span stations. The origin is placed at the pitch axis.
blade.internal_structure_2d_fem.web_rotation,rad,"[[-0.23226842 -0.23226842 -0.23226842 -0.23226842 -0.23226842 -0.22951802
  -0.21301563 -0.19758752 -0.18568919 -0.17424314 -0.16385241 -0.15324653
  -0.14226901 -0.13115458 -0.11986109 -0.10887454 -0.09819493 -0.08756648
  -0.07697715 -0.06701673 -0.05742043 -0.04944819 -0.04217197 -0.03498573
  -0.02782686 -0.0206485  -0.01357875 -0.00690278 -0.00312109 -0.00185005]
 [-0.23226842 -0.23226842 -0.23226842 -0.23226842 -0.23226842 -0.22951802
  -0.21301563 -0.19758752 -0.18568919 -0.17424314 -0.16385241 -0.15324653
  -0.14226901 -0.13115458 -0.11986109 -0.10887454 -0.09819493 -0.08756648
  -0.07697715 -0.06701673 -0.05742043 -0.04944819 -0.04217197 -0.03498573
  -0.02782686 -0.0206485  -0.01357875 -0.00690278 -0.00312109 -0.00185005]]","2D array of the rotation angle of the shear webs in respect to the chord line. The first dimension represents each shear web, the second dimension represents each entry along blade span. If the rotation is equal to negative twist +- a constant, then the web is built straight."
blade.internal_structure_2d_fem.web_start_nd,,"[[0.24012357 0.24131025 0.23997128 0.24837663 0.2727716  0.29178362
  0.29732256 0.30128305 0.30477249 0.3077744  0.31060505 0.31362204
  0.31694221 0.32022513 0.32316134 0.32566608 0.32800255 0.33039706
  0.33300188 0.33573025 0.33833635 0.34066448 0.3431347  0.34581914
  0.34875293 0.35197632 0.35583809 0.36139549 0.38289219 0.39470158]
 [0.18593167 0.18805369 0.18627188 0.19216011 0.21440107 0.23333995
  0.23837137 0.24182167 0.24353599 0.24475822 0.24569421 0.24664547
  0.24769641 0.24847274 0.24857789 0.24812839 0.24740533 0.24653359
  0.24559873 0.24447232 0.24304607 0.24119749 0.23911954 0.23681684
  0.23425769 0.23140128 0.22788972 0.22263995 0.20115129 0.1893015 ]]","2D array of the non-dimensional start point defined along the outer profile of a web. The TE suction side is 0, the TE pressure side is 1. The first dimension represents each web, the second dimension represents each entry along blade span."
blade.internal_structure_2d_fem.web_end_nd,,"[[0.68594486 0.68439257 0.6834723  0.68409936 0.68055956 0.6737641
  0.67488947 0.67509758 0.6742548  0.67345412 0.67245114 0.67105492
  0.66909009 0.66694122 0.66487723 0.66293341 0.66104795 0.65912896
  0.6570222  0.65467288 0.65264153 0.65097656 0.64912276 0.64704273
  0.64470434 0.64207145 0.63877974 0.63373622 0.61229672 0.60037774]
 [0.74013861 0.73764944 0.73747872 0.74178872 0.74149576 0.73507941
  0.73638035 0.7365745  0.73727525 0.73806808 0.73875089 0.73918862
  0.73940564 0.73970647 0.74038291 0.74126537 0.74230211 0.7435293
  0.74488227 0.74628926 0.74821483 0.75069979 0.75336949 0.75625557
  0.7593879  0.76280856 0.7668717  0.77263177 0.79445185 0.80643934]]","2D array of the non-dimensional end point defined along the outer profile of a web. The TE suction side is 0, the TE pressure side is 1. The first dimension represents each web, the second dimension represents each entry along blade span."
blade.internal_structure_2d_fem.web_offset_y_pa,m,"[[-0.3 -0.3 -0.3 -0.3 -0.3 -0.3 -0.3 -0.3 -0.3 -0.3 -0.3 -0.3 -0.3 -0.3
  -0.3 -0.3 -0.3 -0.3 -0.3 -0.3 -0.3 -0.3 -0.3 -0.3 -0.3 -0.3 -0.3 -0.3
  -0.3 -0.3]
 [ 0.3  0.3  0.3  0.3  0.3  0.3  0.3  0.3  0.3  0.3  0.3  0.3  0.3  0.3
   0.3  0.3  0.3  0.3  0.3  0.3  0.3  0.3  0.3  0.3  0.3  0.3  0.3  0.3
   0.3  0.3]]","2D array of the offset along the y axis to set the position of the shear webs. Positive values move the web towards the trailing edge, negative values towards the leading edge. The first dimension represents each shear web, the second dimension represents each entry along blade span."
blade.internal_structure_2d_fem.layer_rotation,rad,"[[ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [-0.23226842 -0.23226842 -0.23226842 -0.23226842 -0.23226842 -0.22951802
  -0.21301563 -0.19758752 -0.18568919 -0.17424314 -0.16385241 -0.15324653
  -0.14226901 -0.13115458 -0.11986109 -0.10887454 -0.09819493 -0.08756648
  -0.07697715 -0.06701673 -0.05742043 -0.04944819 -0.04217197 -0.03498573
  -0.02782686 -0.0206485  -0.01357875 -0.00690278 -0.00312109 -0.00185005]
 [-0.23226842 -0.23226842 -0.23226842 -0.23226842 -0.23226842 -0.22951802
  -0.21301563 -0.19758752 -0.18568919 -0.17424314 -0.16385241 -0.15324653
  -0.14226901 -0.13115458 -0.11986109 -0.10887454 -0.09819493 -0.08756648
  -0.07697715 -0.06701673 -0.05742043 -0.04944819 -0.04217197 -0.03498573
  -0.02782686 -0.0206485  -0.01357875 -0.00690278 -0.00312109 -0.00185005]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]]","2D array of the rotation angle of a layer in respect to the chord line. The first dimension represents each layer, the second dimension represents each entry along blade span. If the rotation is equal to negative twist +- a constant, then the layer is built straight."
blade.internal_structure_2d_fem.layer_start_nd,,"[[0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.6793361  0.67789363 0.67681462 0.67749289 0.6742667  0.66770501
  0.66876404 0.66872477 0.66754963 0.66645781 0.66514248 0.66332797
  0.66090465 0.65833416 0.65582704 0.65346477 0.65114492 0.64876221
  0.64616142 0.64330784 0.64076629 0.63858498 0.63617407 0.63348784
  0.63048933 0.62713218 0.62296975 0.61665494 0.5901856  0.57558698]
 [0.17932132 0.18152123 0.1796431  0.18532618 0.20748306 0.22638709
  0.23141462 0.23482103 0.23633537 0.23736325 0.23808067 0.23874874
  0.23938015 0.23971595 0.23940809 0.23857259 0.23745741 0.23616681
  0.23477307 0.23313902 0.23120176 0.22885461 0.22623955 0.22335201
  0.22015327 0.21659561 0.21223593 0.20573485 0.17916004 0.16452599]
 [1.         0.96024061 0.95984247 0.9579721  0.95651008 0.95644326
  0.95613594 0.9557842  0.9544702  0.9531587  0.95174861 0.95016626
  0.94832769 0.946338   0.94417959 0.94195472 0.93965157 0.93719316
  0.93452954 0.93162932 0.92860691 0.92548543 0.92903849 0.9349777
  0.94151215 0.94873606 0.95655807 0.96476438 0.96940139 0.98295733]
 [0.74674599 0.74415928 0.74374384 0.7475394  0.74674989 0.74029958
  0.74187081 0.74241777 0.74343263 0.74452664 0.74556146 0.7463842
  0.74702518 0.74777083 0.74886105 0.75020691 0.75172564 0.75344028
  0.75527885 0.75725898 0.75975478 0.76277593 0.76602142 0.76953143
  0.77335016 0.77752945 0.78250134 0.78958053 0.81648287 0.831227  ]
 [0.         0.03975939 0.04015753 0.0420279  0.04348992 0.04355674
  0.04386406 0.0442158  0.0455298  0.0468413  0.04825139 0.04983374
  0.05167231 0.053662   0.05582041 0.05804528 0.06034843 0.06280684
  0.06547046 0.06837068 0.07139309 0.07451457 0.07096151 0.0650223
  0.05848785 0.05126394 0.04344193 0.03523562 0.03059861 0.01704267]
 [0.2467312  0.24778688 0.24657232 0.25537268 0.27996626 0.29898166
  0.30452139 0.30851403 0.31221836 0.31543208 0.31849966 0.32180497
  0.32550068 0.32915262 0.3324421  0.33531473 0.33803812 0.34084487
  0.34389051 0.34709015 0.35019025 0.35304556 0.35608689 0.35939559
  0.36301409 0.36699289 0.37176752 0.37866044 0.40545731 0.42016601]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]]","2D array of the non-dimensional start point defined along the outer profile of a layer. The TE suction side is 0, the TE pressure side is 1. The first dimension represents each layer, the second dimension represents each entry along blade span."
